Assembly	out_JBAT.FINAL
# contigs (>= 0 bp)	98
# contigs (>= 1000 bp)	98
# contigs (>= 5000 bp)	98
# contigs (>= 10000 bp)	98
# contigs (>= 25000 bp)	89
# contigs (>= 50000 bp)	46
Total length (>= 0 bp)	303338868
Total length (>= 1000 bp)	303338868
Total length (>= 5000 bp)	303338868
Total length (>= 10000 bp)	303338868
Total length (>= 25000 bp)	303136924
Total length (>= 50000 bp)	301546227
# contigs	98
Largest contig	58825145
Total length	303338868
GC (%)	35.74
N50	48971102
N75	26474007
L50	3
L75	5
# N's per 100 kbp	0.66
