Assembly                    Discradisca_antillarum_diploid
# contigs (>= 0 bp)         18                            
# contigs (>= 1000 bp)      18                            
# contigs (>= 5000 bp)      18                            
# contigs (>= 10000 bp)     18                            
# contigs (>= 25000 bp)     18                            
# contigs (>= 50000 bp)     18                            
Total length (>= 0 bp)      590625809                     
Total length (>= 1000 bp)   590625809                     
Total length (>= 5000 bp)   590625809                     
Total length (>= 10000 bp)  590625809                     
Total length (>= 25000 bp)  590625809                     
Total length (>= 50000 bp)  590625809                     
# contigs                   18                            
Largest contig              59648151                      
Total length                590625809                     
GC (%)                      35.42                         
N50                         36278936                      
N75                         24445255                      
L50                         6                             
L75                         12                            
# N's per 100 kbp           0.36                          
