> Assembly	Discradisca_antillarum_collapsed_phased
> # contigs (>= 0 bp)	9
> # contigs (>= 1000 bp)	9
> # contigs (>= 5000 bp)	9
> # contigs (>= 10000 bp)	9
> # contigs (>= 25000 bp)	9
> # contigs (>= 50000 bp)	9
> Total length (>= 0 bp)	297482005
> Total length (>= 1000 bp)	297482005
> Total length (>= 5000 bp)	297482005
> Total length (>= 10000 bp)	297482005
> Total length (>= 25000 bp)	297482005
> Total length (>= 50000 bp)	297482005
> # contigs	9
> Largest contig	57892280
> Total length	297482005
> GC (%)	35.43
> N50	33940083
> N75	26378192
> L50	4
> L75	6
> # N's per 100 kbp	0.00
