Assembly                    Discradisca_antillarum_haplotype1
# contigs (>= 0 bp)         9                                
# contigs (>= 1000 bp)      9                                
# contigs (>= 5000 bp)      9                                
# contigs (>= 10000 bp)     9                                
# contigs (>= 25000 bp)     9                                
# contigs (>= 50000 bp)     9                                
Total length (>= 0 bp)      296469411                        
Total length (>= 1000 bp)   296469411                        
Total length (>= 5000 bp)   296469411                        
Total length (>= 10000 bp)  296469411                        
Total length (>= 25000 bp)  296469411                        
Total length (>= 50000 bp)  296469411                        
# contigs                   9                                
Largest contig              56942312                         
Total length                296469411                        
GC (%)                      35.43                            
N50                         34526636                         
N75                         26076530                         
L50                         4                                
L75                         6                                
# N's per 100 kbp           0.44                             
