Assembly                    Discradisca_antillarum_phased
# contigs (>= 0 bp)         9                            
# contigs (>= 1000 bp)      9                            
# contigs (>= 5000 bp)      9                            
# contigs (>= 10000 bp)     9                            
# contigs (>= 25000 bp)     9                            
# contigs (>= 50000 bp)     9                            
Total length (>= 0 bp)      567920170                    
Total length (>= 1000 bp)   567920170                    
Total length (>= 5000 bp)   567920170                    
Total length (>= 10000 bp)  567920170                    
Total length (>= 25000 bp)  567920170                    
Total length (>= 50000 bp)  567920170                    
# contigs                   9                            
Largest contig              158132778                    
Total length                567920170                    
GC (%)                      35.40                        
N50                         58590272                     
N75                         50405973                     
L50                         3                            
L75                         6                            
# N's per 100 kbp           2.10                         
